epoch,loss,lr,val_loss
0,2.015974521636963,0.001,0.4528003931045532
1,1.0106816291809082,0.001,0.46364668011665344
2,0.6854797601699829,0.001,0.4695705473423004
3,0.5649612545967102,0.001,0.47342073917388916
4,0.5675650238990784,0.001,0.4759555757045746
5,0.43452489376068115,0.001,0.4791647791862488
6,0.45847225189208984,0.001,0.48385512828826904
7,0.3829110860824585,0.001,0.4884522259235382
8,0.3154204189777374,0.0005,0.4918334186077118
9,0.3203861713409424,0.0005,0.4955518841743469
10,0.3045254945755005,0.0005,0.49931269884109497
11,0.27748820185661316,0.0005,0.5027703046798706
12,0.3110041320323944,0.0005,0.5058507323265076
13,0.282863050699234,0.0005,0.5087469816207886
14,0.277086466550827,0.0005,0.5116535425186157
15,0.24743270874023438,0.00025,0.5138841867446899
