epoch,loss,lr,val_loss
0,1.4969239234924316,0.001,0.7680392861366272
1,0.7576993107795715,0.001,0.7776140570640564
2,0.6006384491920471,0.001,0.7884786128997803
3,0.479885458946228,0.001,0.799121618270874
4,0.36192208528518677,0.001,0.8066374063491821
5,0.3021699786186218,0.001,0.813418447971344
6,0.2667209208011627,0.001,0.8206571936607361
7,0.23904691636562347,0.001,0.8279443383216858
8,0.242984339594841,0.0005,0.8330856561660767
9,0.20440524816513062,0.0005,0.8387840390205383
10,0.1950496882200241,0.0005,0.8443836569786072
11,0.1819317489862442,0.0005,0.8497966527938843
12,0.1587943434715271,0.0005,0.8548471331596375
13,0.16743618249893188,0.0005,0.8595006465911865
14,0.1376856416463852,0.0005,0.8635059595108032
15,0.1486673504114151,0.00025,0.8668164610862732
